"","Citation","AI","Question","Criteria","Agent","Flag","group_agent","value","Reviewer","Difficulty","Extractor"
"1555","_Locally managed marine areas Implications for soc","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"5"
"1556","_Locally managed marine areas Implications for soc","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"5"
"1557","_Locally managed marine areas Implications for soc","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"5"
"1558","_Locally managed marine areas Implications for soc","GPT4x1","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",1,"5"
"1559","_Locally managed marine areas Implications for soc","GPT4x1","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",2,"R2",1,"5"
"1560","_Locally managed marine areas Implications for soc","GPT4x1","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",1,"5"
"1561","_Locally managed marine areas Implications for soc","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",1,"5"
"1562","_Locally managed marine areas Implications for soc","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",1,"5"
"1563","_Locally managed marine areas Implications for soc","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"5"
"1564","_Locally managed marine areas Implications for soc","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",1,"R4",1,"5"
"1565","_Locally managed marine areas Implications for soc","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",2,"R4",1,"5"
"1566","_Locally managed marine areas Implications for soc","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",1,"5"
"1567","_Locally managed marine areas Implications for soc","GPT4x1","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R4",1,"5"
"1568","_Locally managed marine areas Implications for soc","GPT4x1","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R4",1,"5"
"1569","_Locally managed marine areas Implications for soc","GPT4x1","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"5"
"1570","_Locally managed marine areas Implications for soc","GPT4x1","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"5"
"1571","_Locally managed marine areas Implications for soc","GPT4x1","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"5"
"1572","_Locally managed marine areas Implications for soc","GPT4x1","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"5"
"1573","_Locally managed marine areas Implications for soc","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",2,"R3",NA,"5"
"1574","_Locally managed marine areas Implications for soc","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",2,"R3",NA,"5"
"1575","_Locally managed marine areas Implications for soc","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",NA,"5"
"1576","_Locally managed marine areas Implications for soc","GPT4x1","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R2",NA,"5"
"1577","_Locally managed marine areas Implications for soc","GPT4x1","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R2",NA,"5"
"1578","_Locally managed marine areas Implications for soc","GPT4x1","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",NA,"5"
"1579","_Locally managed marine areas Implications for soc","GPT4x1","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",NA,"5"
"1580","_Locally managed marine areas Implications for soc","GPT4x1","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",NA,"5"
"1581","_Locally managed marine areas Implications for soc","GPT4x1","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",NA,"5"
"1582","_Locally managed marine areas Implications for soc","GPT4x1","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",1,"R4",NA,"5"
"1583","_Locally managed marine areas Implications for soc","GPT4x1","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",NA,"5"
"1584","_Locally managed marine areas Implications for soc","GPT4x1","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"5"
"1585","_Multiple drivers of local (non-) compliance in com","GPT4x1","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"5"
"1586","_Multiple drivers of local (non-) compliance in com","GPT4x1","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"5"
"1587","_Multiple drivers of local (non-) compliance in com","GPT4x1","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"5"
"1588","_Multiple drivers of local (non-) compliance in com","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",3,"5"
"1589","_Multiple drivers of local (non-) compliance in com","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",3,"5"
"1590","_Multiple drivers of local (non-) compliance in com","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",3,"5"
"1591","_Multiple drivers of local (non-) compliance in com","GPT4x1","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",1,"R2",1,"5"
"1592","_Multiple drivers of local (non-) compliance in com","GPT4x1","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"5"
"1593","_Multiple drivers of local (non-) compliance in com","GPT4x1","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",1,"5"
"1594","_Multiple drivers of local (non-) compliance in com","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"5"
"1595","_Multiple drivers of local (non-) compliance in com","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",2,"5"
"1596","_Multiple drivers of local (non-) compliance in com","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"5"
"1597","_Multiple drivers of local (non-) compliance in com","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",1,"R4",NA,"5"
"1598","_Multiple drivers of local (non-) compliance in com","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",1,"R4",NA,"5"
"1599","_Multiple drivers of local (non-) compliance in com","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",NA,"5"
"1600","_Multiple drivers of local (non-) compliance in com","GPT4x1","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R4",3,"5"
"1601","_Multiple drivers of local (non-) compliance in com","GPT4x1","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",3,"5"
"1602","_Multiple drivers of local (non-) compliance in com","GPT4x1","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",3,"5"
"1603","_Multiple drivers of local (non-) compliance in com","GPT4x1","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",3,"R1",NA,"5"
"1604","_Multiple drivers of local (non-) compliance in com","GPT4x1","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",3,"R1",NA,"5"
"1605","_Multiple drivers of local (non-) compliance in com","GPT4x1","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",NA,"5"
"1606","_Multiple drivers of local (non-) compliance in com","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",2,"R3",1,"5"
"1607","_Multiple drivers of local (non-) compliance in com","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",2,"R3",1,"5"
"1608","_Multiple drivers of local (non-) compliance in com","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"5"
"1609","_Multiple drivers of local (non-) compliance in com","GPT4x1","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R2",NA,"5"
"1610","_Multiple drivers of local (non-) compliance in com","GPT4x1","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",NA,"5"
"1611","_Multiple drivers of local (non-) compliance in com","GPT4x1","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",NA,"5"
"1612","_Multiple drivers of local (non-) compliance in com","GPT4x1","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"5"
"1613","_Multiple drivers of local (non-) compliance in com","GPT4x1","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",2,"5"
"1614","_Multiple drivers of local (non-) compliance in com","GPT4x1","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"5"
"1615","_Multiple drivers of local (non-) compliance in com","GPT4x1","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",1,"R4",NA,"5"
"1616","_Multiple drivers of local (non-) compliance in com","GPT4x1","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",1,"R4",NA,"5"
"1617","_Multiple drivers of local (non-) compliance in com","GPT4x1","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",NA,"5"
"1618","_One size does not fit all Critical insights for e","GPT4x1","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"5"
"1619","_One size does not fit all Critical insights for e","GPT4x1","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"5"
"1620","_One size does not fit all Critical insights for e","GPT4x1","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"5"
"1621","_One size does not fit all Critical insights for e","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"5"
"1622","_One size does not fit all Critical insights for e","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"5"
"1623","_One size does not fit all Critical insights for e","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"5"
"1624","_One size does not fit all Critical insights for e","GPT4x1","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",1,"R2",3,"5"
"1625","_One size does not fit all Critical insights for e","GPT4x1","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",3,"5"
"1626","_One size does not fit all Critical insights for e","GPT4x1","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",3,"5"
"1627","_One size does not fit all Critical insights for e","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"5"
"1628","_One size does not fit all Critical insights for e","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",2,"5"
"1629","_One size does not fit all Critical insights for e","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"5"
"1630","_One size does not fit all Critical insights for e","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",3,"5"
"1631","_One size does not fit all Critical insights for e","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",3,"5"
"1632","_One size does not fit all Critical insights for e","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",3,"5"
"1633","_One size does not fit all Critical insights for e","GPT4x1","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R4",NA,"5"
"1634","_One size does not fit all Critical insights for e","GPT4x1","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R4",NA,"5"
"1635","_One size does not fit all Critical insights for e","GPT4x1","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"5"
"1636","_One size does not fit all Critical insights for e","GPT4x1","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",3,"R1",NA,"5"
"1637","_One size does not fit all Critical insights for e","GPT4x1","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",3,"R1",NA,"5"
"1638","_One size does not fit all Critical insights for e","GPT4x1","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",NA,"5"
"1639","_One size does not fit all Critical insights for e","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"5"
"1640","_One size does not fit all Critical insights for e","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",1,"R3",2,"5"
"1641","_One size does not fit all Critical insights for e","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"5"
"1642","_One size does not fit all Critical insights for e","GPT4x1","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R2",NA,"5"
"1643","_One size does not fit all Critical insights for e","GPT4x1","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R2",NA,"5"
"1644","_One size does not fit all Critical insights for e","GPT4x1","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",NA,"5"
"1645","_One size does not fit all Critical insights for e","GPT4x1","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",3,"R3",NA,"5"
"1646","_One size does not fit all Critical insights for e","GPT4x1","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",NA,"5"
"1647","_One size does not fit all Critical insights for e","GPT4x1","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",NA,"5"
"1648","_One size does not fit all Critical insights for e","GPT4x1","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",1,"R4",3,"5"
"1649","_One size does not fit all Critical insights for e","GPT4x1","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",1,"R4",3,"5"
"1650","_One size does not fit all Critical insights for e","GPT4x1","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",3,"5"
"1651","_Small-scale managed marine areas over time Develo","GPT4x1","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"4"
"1652","_Small-scale managed marine areas over time Develo","GPT4x1","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"4"
"1653","_Small-scale managed marine areas over time Develo","GPT4x1","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",1,"4"
"1654","_Small-scale managed marine areas over time Develo","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",1,"R1",2,"4"
"1655","_Small-scale managed marine areas over time Develo","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",3,"R1",2,"4"
"1656","_Small-scale managed marine areas over time Develo","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",2,"4"
"1657","_Small-scale managed marine areas over time Develo","GPT4x1","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",1,"R2",1,"4"
"1658","_Small-scale managed marine areas over time Develo","GPT4x1","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"4"
"1659","_Small-scale managed marine areas over time Develo","GPT4x1","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",1,"4"
"1660","_Small-scale managed marine areas over time Develo","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",1,"4"
"1661","_Small-scale managed marine areas over time Develo","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",1,"4"
"1662","_Small-scale managed marine areas over time Develo","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"4"
"1663","_Small-scale managed marine areas over time Develo","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",1,"R4",2,"4"
"1664","_Small-scale managed marine areas over time Develo","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",1,"R4",2,"4"
"1665","_Small-scale managed marine areas over time Develo","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",2,"4"
"1666","_Small-scale managed marine areas over time Develo","GPT4x1","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R4",NA,"4"
"1667","_Small-scale managed marine areas over time Develo","GPT4x1","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",NA,"4"
"1668","_Small-scale managed marine areas over time Develo","GPT4x1","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",NA,"4"
"1669","_Small-scale managed marine areas over time Develo","GPT4x1","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",1,"R1",2,"4"
"1670","_Small-scale managed marine areas over time Develo","GPT4x1","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",3,"R1",2,"4"
"1671","_Small-scale managed marine areas over time Develo","GPT4x1","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",2,"4"
"1672","_Small-scale managed marine areas over time Develo","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"4"
"1673","_Small-scale managed marine areas over time Develo","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"4"
"1674","_Small-scale managed marine areas over time Develo","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"4"
"1675","_Small-scale managed marine areas over time Develo","GPT4x1","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R2",2,"4"
"1676","_Small-scale managed marine areas over time Develo","GPT4x1","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"4"
"1677","_Small-scale managed marine areas over time Develo","GPT4x1","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",2,"4"
"1678","_Small-scale managed marine areas over time Develo","GPT4x1","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",1,"4"
"1679","_Small-scale managed marine areas over time Develo","GPT4x1","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",1,"4"
"1680","_Small-scale managed marine areas over time Develo","GPT4x1","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"4"
"1681","_Small-scale managed marine areas over time Develo","GPT4x1","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",1,"R4",1,"4"
"1682","_Small-scale managed marine areas over time Develo","GPT4x1","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",1,"R4",1,"4"
"1683","_Small-scale managed marine areas over time Develo","GPT4x1","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",1,"4"
"1684","_Social and economic challenges to community-based","GPT4x1","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"4"
"1685","_Social and economic challenges to community-based","GPT4x1","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"1686","_Social and economic challenges to community-based","GPT4x1","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"4"
"1687","_Social and economic challenges to community-based","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"4"
"1688","_Social and economic challenges to community-based","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"4"
"1689","_Social and economic challenges to community-based","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"4"
"1690","_Social and economic challenges to community-based","GPT4x1","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",3,"4"
"1691","_Social and economic challenges to community-based","GPT4x1","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",3,"4"
"1692","_Social and economic challenges to community-based","GPT4x1","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",3,"4"
"1693","_Social and economic challenges to community-based","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",3,"R3",1,"4"
"1694","_Social and economic challenges to community-based","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",2,"R3",1,"4"
"1695","_Social and economic challenges to community-based","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",1,"4"
"1696","_Social and economic challenges to community-based","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",1,"R4",2,"4"
"1697","_Social and economic challenges to community-based","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",1,"R4",2,"4"
"1698","_Social and economic challenges to community-based","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",2,"4"
"1699","_Social and economic challenges to community-based","GPT4x1","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R4",3,"4"
"1700","_Social and economic challenges to community-based","GPT4x1","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",3,"4"
"1701","_Social and economic challenges to community-based","GPT4x1","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",3,"4"
"1702","_Social and economic challenges to community-based","GPT4x1","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"4"
"1703","_Social and economic challenges to community-based","GPT4x1","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"4"
"1704","_Social and economic challenges to community-based","GPT4x1","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"4"
"1705","_Social and economic challenges to community-based","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",2,"4"
"1706","_Social and economic challenges to community-based","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"4"
"1707","_Social and economic challenges to community-based","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",2,"4"
"1708","_Social and economic challenges to community-based","GPT4x1","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",2,"4"
"1709","_Social and economic challenges to community-based","GPT4x1","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R2",2,"4"
"1710","_Social and economic challenges to community-based","GPT4x1","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",2,"4"
"1711","_Social and economic challenges to community-based","GPT4x1","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",2,"R3",2,"4"
"1712","_Social and economic challenges to community-based","GPT4x1","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",2,"4"
"1713","_Social and economic challenges to community-based","GPT4x1","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",2,"4"
"1714","_Social and economic challenges to community-based","GPT4x1","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",3,"R4",NA,"4"
"1715","_Social and economic challenges to community-based","GPT4x1","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",NA,"4"
"1716","_Social and economic challenges to community-based","GPT4x1","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"4"
"1717","_Social attitudes towards marine resource managemen","GPT4x1","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",1,"R1",1,"4"
"1718","_Social attitudes towards marine resource managemen","GPT4x1","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"1719","_Social attitudes towards marine resource managemen","GPT4x1","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",1,"4"
"1720","_Social attitudes towards marine resource managemen","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",1,"R1",1,"4"
"1721","_Social attitudes towards marine resource managemen","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"1722","_Social attitudes towards marine resource managemen","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",1,"4"
"1723","_Social attitudes towards marine resource managemen","GPT4x1","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",1,"R2",2,"4"
"1724","_Social attitudes towards marine resource managemen","GPT4x1","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"4"
"1725","_Social attitudes towards marine resource managemen","GPT4x1","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",2,"4"
"1726","_Social attitudes towards marine resource managemen","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",2,"R3",NA,"4"
"1727","_Social attitudes towards marine resource managemen","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",2,"R3",NA,"4"
"1728","_Social attitudes towards marine resource managemen","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",NA,"4"
"1729","_Social attitudes towards marine resource managemen","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",1,"R4",1,"4"
"1730","_Social attitudes towards marine resource managemen","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",1,"R4",1,"4"
